player_external_id,player_name,gender,team_name
db584dad,CH Gayle,male,Royal Challengers Bengaluru
c3a96caf,Mandeep Singh,male,Royal Challengers Bengaluru
12b610c2,TM Head,male,Royal Challengers Bengaluru
99d63244,KM Jadhav,male,Royal Challengers Bengaluru
4329fbb5,SR Watson,male,Royal Challengers Bengaluru
dc9dd038,Sachin Baby,male,Royal Challengers Bengaluru
bd17b45f,STR Binny,male,Royal Challengers Bengaluru
957532de,S Aravind,male,Royal Challengers Bengaluru
245c97cb,TS Mills,male,Mumbai Indians
57ee1fde,YS Chahal,male,Royal Challengers Bengaluru
18e6906e,A Choudhary,male,Royal Challengers Bengaluru
dcce6f09,DA Warner,male,Sunrisers Hyderabad
0a476045,S Dhawan,male,Sunrisers Hyderabad
32198ae0,MC Henriques,male,Sunrisers Hyderabad
1c914163,Yuvraj Singh,male,Sunrisers Hyderabad
73ad96ed,DJ Hooda,male,Sunrisers Hyderabad
2e11c706,BCJ Cutting,male,Sunrisers Hyderabad
890946a0,NV Ojha,male,Sunrisers Hyderabad
c18496e1,Bipul Sharma,male,Sunrisers Hyderabad
2e81a32d,B Kumar,male,Sunrisers Hyderabad
96fd40ae,A Nehra,male,Sunrisers Hyderabad
5f547c8b,Rashid Khan,male,Gujarat Titans
b5da6c24,PA Patel,male,Mumbai Indians
99b75528,JC Buttler,male,Mumbai Indians
740742ef,RG Sharma,male,Mumbai Indians
fb2d1dda,N Rana,male,Mumbai Indians
70d205c9,AT Rayudu,male,Mumbai Indians
5b8c830e,KH Pandya,male,Mumbai Indians
a757b0d8,KA Pollard,male,Mumbai Indians
dbe50b21,HH Pandya,male,Mumbai Indians
13c35c9e,TG Southee,male,Mumbai Indians
51a3c5ef,MJ McClenaghan,male,Mumbai Indians
462411b3,JJ Bumrah,male,Mumbai Indians
29e95537,AM Rahane,male,Rising Pune Supergiant
00ea847a,MA Agarwal,male,Delhi Capitals
30a45b23,SPD Smith,male,Rising Pune Supergiant
e087956b,BA Stokes,male,Chennai Super Kings
4a8a2e3b,MS Dhoni,male,Rising Pune Supergiant
26e5cabf,MK Tiwary,male,Delhi Capitals
33a364a6,R Bhatia,male,Rising Pune Supergiant
23eeb873,DL Chahar,male,Rising Pune Supergiant
14f96089,A Zampa,male,Rising Pune Supergiant
66b30f71,AB Dinda,male,Rising Pune Supergiant
acee4cc4,Imran Tahir,male,Delhi Capitals
d1c36f5c,JJ Roy,male,Kolkata Knight Riders
b8a55852,BB McCullum,male,Gujarat Lions
1dc12ab9,SK Raina,male,Gujarat Lions
b8d490fd,AJ Finch,male,Gujarat Lions
c03f1114,KD Karthik,male,Gujarat Lions
35205dfc,DR Smith,male,Gujarat Lions
ae78bc32,MS Gony,male,Punjab Kings
e938e1bc,P Kumar,male,Gujarat Lions
c8179c68,SB Jakati,male,Gujarat Lions
d2a989fc,DS Kulkarni,male,Gujarat Lions
1da489ff,S Kaushik,male,Gujarat Lions
bb345e0b,G Gambhir,male,Kolkata Knight Riders
45eda7c8,CA Lynn,male,Kolkata Knight Riders
1c17e270,RV Uthappa,male,Kolkata Knight Riders
93b4fc78,MK Pandey,male,Kolkata Knight Riders
3c6ffae8,YK Pathan,male,Kolkata Knight Riders
271f83cd,SA Yadav,male,Kolkata Knight Riders
4c5d73db,CR Woakes,male,Delhi Capitals
98ae73b1,PP Chawla,male,Kolkata Knight Riders
8d2c70ad,Kuldeep Yadav,male,Kolkata Knight Riders
9d430b40,SP Narine,male,Kolkata Knight Riders
a818c1be,TA Boult,male,Sunrisers Hyderabad
e798611a,HM Amla,male,Punjab Kings
c03e2850,M Vohra,male,Punjab Kings
fe11caa6,WP Saha,male,Punjab Kings
2e171977,AR Patel,male,Punjab Kings
b681e71e,GJ Maxwell,male,Punjab Kings
d67d5f00,DA Miller,male,Punjab Kings
d9273ee7,MP Stoinis,male,Punjab Kings
983f2f61,Swapnil Singh,male,Punjab Kings
759ac88f,MM Sharma,male,Punjab Kings
ce820073,Sandeep Sharma,male,Punjab Kings
ce794613,T Natarajan,male,Delhi Capitals
2a2e6343,DT Christian,male,Royal Challengers Bengaluru
2ed569a0,RD Chahar,male,Chennai Super Kings
0494fa6e,Vishnu Vinod,male,Punjab Kings
f62772e5,P Negi,male,Delhi Capitals
85aae393,Iqbal Abdulla,male,Royal Challengers Bengaluru
6834d1f2,B Stanlake,male,Sunrisers Hyderabad
855a210c,AP Tare,male,Sunrisers Hyderabad
c16d4035,SW Billings,male,Delhi Capitals
944533a5,KK Nair,male,Delhi Capitals
a4cc73aa,SV Samson,male,Delhi Capitals
919a3be2,RR Pant,male,Delhi Capitals
fb66ce1f,CH Morris,male,Delhi Capitals
e342e5fb,CR Brathwaite,male,Delhi Capitals
ded9240e,PJ Cummins,male,Kolkata Knight Riders
6b19d823,A Mishra,male,Delhi Capitals
9d80c5e1,S Nadeem,male,Delhi Capitals
91a4a398,Z Khan,male,Delhi Capitals
871e9faf,Basil Thampi,male,Mumbai Indians
c28e9f12,Tejas Baroka,male,Gujarat Lions
db31895a,AS Rajpoot,male,Kolkata Knight Riders
8b5b6769,Harbhajan Singh,male,Mumbai Indians
a12e1d51,SL Malinga,male,Mumbai Indians
0a3d54b9,VR Aaron,male,Royal Challengers Bengaluru
c4487b84,AB de Villiers,male,Royal Challengers Bengaluru
8abdf100,CJ Anderson,male,Mumbai Indians
3355b542,F du Plessis,male,Rising Pune Supergiant
77255a9e,RA Tripathi,male,Chennai Super Kings
0994d0ae,V Shankar,male,Chennai Super Kings
0a8fce53,Mustafizur Rahman,male,Sunrisers Hyderabad
5bb1a1c4,I Sharma,male,Rising Pune Supergiant
94d7f855,C de Grandhomme,male,Royal Challengers Bengaluru
cc1e8c68,UT Yadav,male,Kolkata Knight Riders
ba607b88,V Kohli,male,Royal Challengers Bengaluru
76388dc8,S Badree,male,Chennai Super Kings
752f7486,Ishan Kishan,male,Gujarat Lions
fe93fd9d,RA Jadeja,male,Gujarat Lions
7c7d63a2,AJ Tye,male,Lucknow Super Giants
24d94623,Ankit Sharma,male,Rising Pune Supergiant
1abb78f8,SN Thakur,male,Punjab Kings
2f9d0389,LH Ferguson,male,Punjab Kings
85ec8e33,SS Iyer,male,Delhi Capitals
d2a6c0e6,EJG Morgan,male,Sunrisers Hyderabad
edb3d4f8,KC Cariappa,male,Punjab Kings
f0f628c7,MM Patel,male,Mumbai Indians
1e66c162,JD Unadkat,male,Kolkata Knight Riders
350bb1b1,AF Milne,male,Royal Challengers Bengaluru
896d78ad,AD Mathews,male,Delhi Capitals
8cf9814c,Mohammed Shami,male,Delhi Capitals
56ab442f,NM Coulter-Nile,male,Delhi Capitals
62af8546,Mohammad Nabi,male,Mumbai Indians
d8b2f218,BB Sran,male,Sunrisers Hyderabad
dcf81436,S Kaul,male,Delhi Capitals
81049310,J Yadav,male,Delhi Capitals
d027ba9f,KS Williamson,male,Sunrisers Hyderabad
2f49c897,Mohammed Siraj,male,Gujarat Titans
508a1ea7,SE Marsh,male,Punjab Kings
6eb146d2,Gurkeerat Singh,male,Punjab Kings
808f425a,JP Faulkner,male,Gujarat Lions
7dc35884,Shakib Al Hasan,male,Kolkata Knight Riders
e62dd25d,K Rabada,male,Gujarat Titans
f5180fe6,MG Johnson,male,Punjab Kings
f19ccfad,Washington Sundar,male,Gujarat Titans
f10e94c4,AD Nath,male,Gujarat Lions
b51f72a5,SS Agarwal,male,Gujarat Lions
b822e99c,NB Singh,male,Gujarat Lions
119678fd,KV Sharma,male,Sunrisers Hyderabad
14b14cd8,DM Bravo,male,Kolkata Knight Riders
f18ba07f,Ankit Soni,male,Gujarat Lions
afe3355a,AR Bawne,male,Delhi Capitals
acc1aeda,SP Jackson,male,Kolkata Knight Riders
2be41edb,MJ Guptill,male,Mumbai Indians
69be866a,Anureet Singh,male,Punjab Kings
5fa06777,IK Pathan,male,Rising Pune Supergiant
9fc0ef64,PJ Sangwan,male,Gujarat Lions
f846de6a,MN Samuels,male,Pune Warriors
89f64c19,LMP Simmons,male,Mumbai Indians
39a2dfa8,R Tewatia,male,Rajasthan Royals
e84ac20c,MJ Henry,male,Chennai Super Kings
