match_id,player_id,player_external_id,player_name,team_id,team_name,gender,batting_runs,balls_faced,fours,sixes,batting_strike_rate,not_out,batted,balls_bowled,runs_conceded,wickets,bowling_economy,maidens
1000891,925,6834d1f2,B Stanlake,1,Australia,male,0,0,0,0,0.0,False,False,60,55,1,5.5,1
1000891,936,8a75e999,Babar Azam,2,Pakistan,male,84,100,4,1,84.0,False,True,0,0,0,0.0,0
1000891,2076,ded9240e,PJ Cummins,1,Australia,male,0,0,0,0,0.0,False,False,60,42,1,4.2,1
1000891,2536,12b610c2,TM Head,1,Australia,male,23,25,4,0,92.0,True,True,60,65,2,6.5,0
1000891,894,50250426,Asad Shafiq,2,Pakistan,male,5,10,0,0,50.0,False,True,0,0,0,0.0,0
1000891,1546,808f425a,JP Faulkner,1,Australia,male,0,0,0,0,0.0,False,False,60,62,0,6.2,0
1000891,2360,64c34cd0,Shoaib Malik,2,Pakistan,male,39,41,3,2,95.12,False,True,12,18,0,9.0,0
1000891,2560,fd2bf2a0,Umar Akmal,2,Pakistan,male,39,51,1,1,76.47,False,True,0,0,0,0.0,0
1000891,1404,9cb8d7a6,Imad Wasim,2,Pakistan,male,9,13,1,0,69.23,False,True,48,59,0,7.38,0
1000891,1876,2f26ac1a,Mohammad Rizwan,2,Pakistan,male,14,19,1,0,73.68,True,True,0,0,0,0.0,0
1000891,1858,e174dadd,Mohammad Amir,2,Pakistan,male,4,6,0,0,66.67,True,True,60,36,1,3.6,0
1000891,1124,dcce6f09,DA Warner,1,Australia,male,35,38,5,0,92.11,False,True,0,0,0,0.0,0
1000891,2571,331ea488,UT Khawaja,1,Australia,male,9,20,2,0,45.0,False,True,0,0,0,0.0,0
1000891,1564,086f5984,Junaid Khan,2,Pakistan,male,0,0,0,0,0.0,False,False,54,58,1,6.44,0
1000891,2102,ada15e88,PSP Handscomb,1,Australia,male,82,83,7,0,98.8,False,True,0,0,0,0.0,0
1000891,2419,30a45b23,SPD Smith,1,Australia,male,108,104,11,1,103.85,True,True,0,0,0,0.0,0
1000891,1341,2911de16,Hasan Ali,2,Pakistan,male,0,0,0,0,0.0,False,False,60,62,1,6.2,0
1000893,2571,331ea488,UT Khawaja,1,Australia,male,30,49,2,0,61.22,False,True,0,0,0,0.0,0
1000893,1862,9ab63e7b,Mohammad Hafeez,2,Pakistan,male,40,40,3,1,100.0,False,True,54,54,0,6.0,0
1000893,1124,dcce6f09,DA Warner,1,Australia,male,130,117,11,2,111.11,False,True,0,0,0,0.0,0
1000893,1858,e174dadd,Mohammad Amir,2,Pakistan,male,5,6,1,0,83.33,False,True,60,75,1,7.5,0
1000893,1564,086f5984,Junaid Khan,2,Pakistan,male,0,1,0,0,0.0,False,True,60,82,0,8.2,0
1000893,1341,2911de16,Hasan Ali,2,Pakistan,male,8,7,0,0,114.29,True,True,60,52,5,5.2,1
1000893,2419,30a45b23,SPD Smith,1,Australia,male,49,48,5,0,102.08,False,True,0,0,0,0.0,0
1000893,1404,9cb8d7a6,Imad Wasim,2,Pakistan,male,25,17,3,0,147.06,False,True,54,69,0,7.67,0
1000893,2360,64c34cd0,Shoaib Malik,2,Pakistan,male,47,61,1,1,77.05,False,True,12,13,0,6.5,0
1000893,2536,12b610c2,TM Head,1,Australia,male,51,36,2,4,141.67,False,True,60,66,2,6.6,0
1000893,1291,b681e71e,GJ Maxwell,1,Australia,male,78,44,10,1,177.27,False,True,0,0,0,0.0,0
1000893,1913,afa7e784,MS Wade,1,Australia,male,5,6,0,0,83.33,False,True,0,0,0,0.0,0
1000893,909,211de69f,Azhar Ali,2,Pakistan,male,7,10,1,0,70.0,False,True,0,0,0,0.0,0
1000893,1764,3fb19989,MA Starc,1,Australia,male,0,0,0,0,0.0,False,False,42,42,1,6.0,0
1000893,2354,193ef196,Sharjeel Khan,2,Pakistan,male,74,47,10,3,157.45,False,True,0,0,0,0.0,0
1000893,1552,03806cf8,JR Hazlewood,1,Australia,male,0,0,0,0,0.0,False,False,53,54,3,6.11,0
1000893,936,8a75e999,Babar Azam,2,Pakistan,male,31,39,4,0,79.49,False,True,0,0,0,0.0,0
1000893,2076,ded9240e,PJ Cummins,1,Australia,male,0,0,0,0,0.0,False,False,48,45,1,5.62,0
1000893,731,14f96089,A Zampa,1,Australia,male,0,0,0,0,0.0,False,False,60,55,3,5.5,0
1000893,2560,fd2bf2a0,Umar Akmal,2,Pakistan,male,11,23,0,0,47.83,False,True,0,0,0,0.0,0
1000893,1876,2f26ac1a,Mohammad Rizwan,2,Pakistan,male,10,12,1,0,83.33,False,True,0,0,0,0.0,0
1000895,1124,dcce6f09,DA Warner,1,Australia,male,179,128,19,5,139.84,False,True,0,0,0,0.0,0
1000895,1858,e174dadd,Mohammad Amir,2,Pakistan,male,17,14,1,1,121.43,False,True,60,71,1,7.1,0
1000895,2536,12b610c2,TM Head,1,Australia,male,128,137,9,3,93.43,False,True,12,13,0,6.5,0
1000895,1564,086f5984,Junaid Khan,2,Pakistan,male,0,0,0,0,0.0,False,False,60,61,2,6.1,0
1000895,1341,2911de16,Hasan Ali,2,Pakistan,male,13,10,0,1,130.0,False,True,54,100,2,11.11,0
1000895,1862,9ab63e7b,Mohammad Hafeez,2,Pakistan,male,3,6,0,0,50.0,False,True,42,43,0,6.14,0
1000895,2606,b3118300,Wahab Riaz,2,Pakistan,male,17,20,1,0,85.0,False,True,60,62,1,6.2,0
1000895,2360,64c34cd0,Shoaib Malik,2,Pakistan,male,10,13,0,0,76.92,True,True,24,27,0,6.75,0
1000895,2419,30a45b23,SPD Smith,1,Australia,male,4,2,1,0,200.0,False,True,0,0,0,0.0,0
1000895,1291,b681e71e,GJ Maxwell,1,Australia,male,13,7,1,1,185.71,False,True,0,0,0,0.0,0
1000895,1913,afa7e784,MS Wade,1,Australia,male,8,6,1,0,133.33,False,True,0,0,0,0.0,0
1000895,1546,808f425a,JP Faulkner,1,Australia,male,18,12,2,0,150.0,True,True,54,60,1,6.67,0
1000895,2102,ada15e88,PSP Handscomb,1,Australia,male,1,2,0,0,50.0,False,True,0,0,0,0.0,0
1000895,1764,3fb19989,MA Starc,1,Australia,male,6,5,0,0,120.0,False,True,55,42,4,4.58,1
1000895,2076,ded9240e,PJ Cummins,1,Australia,male,1,1,0,0,100.0,True,True,60,60,2,6.0,0
1000895,909,211de69f,Azhar Ali,2,Pakistan,male,6,8,1,0,75.0,False,True,0,0,0,0.0,0
1000895,2354,193ef196,Sharjeel Khan,2,Pakistan,male,79,69,9,2,114.49,False,True,0,0,0,0.0,0
1000895,1552,03806cf8,JR Hazlewood,1,Australia,male,0,0,0,0,0.0,False,False,60,74,1,7.4,0
1000895,936,8a75e999,Babar Azam,2,Pakistan,male,100,109,7,1,91.74,False,True,0,0,0,0.0,0
1000895,731,14f96089,A Zampa,1,Australia,male,0,0,0,0,0.0,False,False,54,61,1,6.78,0
