player_id,player_external_id,player_name,gender,team_name,matches,batting_innings,runs,balls_faced,highest_score,not_outs,fours,sixes,fifties,centuries,batting_average,strike_rate,bowling_innings,balls_bowled,wickets,runs_conceded,economy,bowling_average,best_bowling_wickets,five_wicket_hauls
372,8d1ade08,M Mani,female,India,3,2,54,56,46,1,5,0,0,0,54.0,96.43,3,120,3,129,6.45,43.0,2,0
373,bb411d1e,M Mavunga,female,Zimbabwe,5,5,13,32,9,1,1,0,0,0,3.25,40.62,5,151,1,156,6.2,156.0,1,0
374,d5fa2ab3,M McColl,female,Scotland,11,11,209,251,57,0,21,1,1,0,19.0,83.27,2,30,0,31,6.2,0.0,0,0
375,6657b319,M Mupachikwa,female,Zimbabwe,27,27,621,1076,77,1,62,0,4,0,23.88,57.71,0,0,0,0,0.0,0.0,0,0
376,94b52754,M Musonda,female,Zimbabwe,13,13,262,380,103,1,28,0,0,1,21.83,68.95,0,0,0,0,0.0,0.0,0,0
377,d661bc57,M Nanayakkara,female,Sri Lanka,3,3,14,33,13,0,1,0,0,0,4.67,42.42,1,24,1,40,10.0,40.0,1,0
378,2e2233df,M Patwardhan,female,United States of America,2,2,1,13,1,0,0,0,0,0,0.5,7.69,0,0,0,0,0.0,0.0,0,0
379,ec2269dc,M Raj,female,India,70,70,2949,4230,125,19,298,13,30,2,57.82,69.72,0,0,0,0,0.0,0.0,0,0
380,e04fb55d,M Shehani,female,Sri Lanka,1,1,11,18,11,0,1,0,0,0,11.0,61.11,1,30,0,29,5.8,0.0,0,0
381,996ed07c,M Smit,female,South Africa,6,5,116,146,56,1,15,0,1,0,29.0,79.45,5,144,4,138,5.75,34.5,2,0
382,5ce56983,M Terblanche,female,South Africa,4,4,80,129,49,0,10,0,0,0,20.0,62.02,1,12,0,0,0.0,0.0,0,0
383,cebc1351,M Tom,female,Papua New Guinea,4,3,3,7,3,2,0,0,0,0,3.0,42.86,3,150,1,92,3.68,92.0,1,0
384,318a4039,MAA Sanjeewani,female,Sri Lanka,42,42,578,933,55,6,42,2,1,0,16.06,61.95,0,0,0,0,0.0,0.0,0,0
385,c6002ece,Maahi Madhavan,female,United States of America,2,1,1,2,1,0,0,0,0,0,1.0,50.0,2,90,1,74,4.93,74.0,1,0
386,3f440bd6,MADD Surangika,female,Sri Lanka,34,34,642,1183,84,6,59,1,3,0,22.93,54.27,0,0,0,0,0.0,0.0,0,0
387,3021a755,Maham Tariq,female,Pakistan,5,3,3,37,2,0,0,0,0,0,1.0,8.11,4,180,4,204,6.8,51.0,2,0
388,e429f443,Marina Iqbal,female,Pakistan,8,8,137,308,38,0,12,0,0,0,17.12,44.48,3,48,1,61,7.62,61.0,1,0
389,a50797a4,Marufa Akter,female,Bangladesh,35,20,64,104,15,12,6,0,0,0,8.0,61.54,34,1207,29,933,4.64,32.17,4,0
390,d1f0f514,MC Patel,female,India,2,2,13,35,9,0,1,0,0,0,6.5,37.14,2,80,0,54,4.05,0.0,0,0
391,c2c7e58a,MD Botha,female,United Arab Emirates,7,7,103,149,42,2,8,0,0,0,20.6,69.13,7,276,13,176,3.83,13.54,3,0
392,dfc89c58,MDN Hansika,female,Sri Lanka,24,24,357,721,48,0,43,0,0,0,14.88,49.51,0,0,0,0,0.0,0.0,0,0
393,fefe8d52,MDT Kamini,female,India,9,9,353,536,113,2,46,5,1,2,50.43,65.86,1,30,0,31,6.2,0.0,0,0
394,c2554b59,ME Bouchier,female,England,17,17,645,611,104,2,89,5,3,2,43.0,105.56,0,0,0,0,0.0,0.0,0,0
395,600c9d3f,MEC de Fouw,female,Netherlands,2,2,11,81,11,1,1,0,0,0,11.0,13.58,2,120,3,68,3.4,22.67,2,0
396,f176e421,Meghna Singh,female,India,17,7,33,49,12,4,4,0,0,0,11.0,67.35,17,722,16,592,4.92,37.0,3,0
397,ff05f9f8,Melanie Ani,female,Papua New Guinea,2,2,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
398,e1556297,MEMO Scott-Hayward,female,Ireland,2,2,11,22,11,0,1,0,0,0,5.5,50.0,2,108,1,98,5.44,98.0,1,0
399,d0835ec4,MF Fahey,female,New Zealand,1,1,0,6,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
400,b36b66c3,MF Kendal,female,Ireland,3,3,30,84,16,0,3,0,0,0,10.0,35.71,1,18,0,21,7.0,0.0,0,0
401,421a0275,MG Maceira,female,Scotland,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,36,1,37,6.17,37.0,1,0
402,1af5cef2,Miria Raio,female,Papua New Guinea,2,2,6,21,4,1,0,0,0,0,6.0,28.57,0,0,0,0,0.0,0.0,0,0
403,dead3b10,MIW van den Raad,female,Netherlands,1,1,1,1,1,0,0,0,0,0,1.0,100.0,1,12,1,21,10.5,21.0,1,0
404,02923e7a,MJ Bulow,female,Australia,1,1,50,72,50,0,9,0,1,0,50.0,69.44,0,0,0,0,0.0,0.0,0,0
405,e2410b5e,MJG Nielsen,female,New Zealand,17,6,25,47,16,2,2,0,0,0,6.25,53.19,17,726,19,487,4.02,25.63,5,1
406,cd62f670,MK Villiers,female,England,4,3,32,31,14,0,3,0,0,0,10.67,103.23,3,138,4,125,5.43,31.25,3,0
407,865eae1f,ML Green,female,New Zealand,79,78,2175,2811,141,12,194,11,11,2,32.95,77.37,6,112,1,107,5.73,107.0,1,0
408,17608a6f,ML Schutt,female,Australia,95,21,84,161,14,7,6,0,0,0,6.0,52.17,95,4255,125,3049,4.3,24.39,5,1
409,983a0c34,MM Dekeling,female,Netherlands,1,1,12,19,12,0,1,0,0,0,12.0,63.16,0,0,0,0,0.0,0.0,0,0
410,27e003ce,MM Lanning,female,Australia,76,76,3555,3898,152,13,437,29,19,10,56.43,91.2,2,42,1,44,6.29,44.0,1,0
411,7544bf30,MM Letsoalo,female,South Africa,20,6,17,53,5,3,1,0,0,0,5.67,32.08,20,856,20,484,3.39,24.2,3,0
412,645b2a2f,MM Penfold,female,New Zealand,15,7,12,52,5,1,0,0,0,0,2.0,23.08,15,576,14,486,5.06,34.71,4,0
413,27a9eb25,Momina Riasat,female,Pakistan,3,0,0,0,0,0,0,0,0,0,0.0,0.0,3,156,4,116,4.46,29.0,2,0
414,4e7aa570,MR Aguilleira,female,West Indies,25,25,323,588,46,3,26,3,0,0,14.68,54.93,0,0,0,0,0.0,0.0,0,0
415,9049ab63,MR Corteen-Coleman,female,England,2,1,3,6,3,1,0,0,0,0,0.0,50.0,2,102,2,102,6.0,51.0,2,0
416,89ee5191,MR Meshram,female,India,16,16,322,560,78,2,36,4,3,0,23.0,57.5,4,84,0,51,3.64,0.0,0,0
417,0dbec211,MS Kanchingwe,female,Zimbabwe,1,1,10,19,10,0,1,0,0,0,10.0,52.63,0,0,0,0,0.0,0.0,0,0
418,9ab635dd,MS Kashyap,female,India,1,1,8,15,8,0,1,0,0,0,8.0,53.33,1,18,0,30,10.0,0.0,0,0
419,4b3760d9,MT Herbert,female,Ireland,1,1,1,21,1,0,0,0,0,0,1.0,4.76,1,18,0,15,5.0,0.0,0,0
420,86fdf668,Muneeba Ali,female,Pakistan,61,61,1448,2293,107,4,173,4,5,1,25.4,63.15,0,0,0,0,0.0,0.0,0,0
421,712bbd92,Murshida Khatun,female,Bangladesh,26,26,429,747,91,2,56,1,2,0,17.88,57.43,0,0,0,0,0.0,0.0,0,0
422,2e4f11e9,MV Waldron,female,Ireland,21,21,290,620,41,3,26,0,0,0,16.11,46.77,0,0,0,0,0.0,0.0,0,0
423,58acb320,N Boochatham,female,Thailand,13,12,165,311,29,0,19,0,0,0,13.75,53.05,13,575,12,368,3.84,30.67,3,0
424,61b60bb3,N Chaihan,female,Thailand,3,3,7,12,4,1,1,0,0,0,3.5,58.33,0,0,0,0,0.0,0.0,0,0
425,0825e4b3,N Chaiwai,female,Thailand,17,17,475,684,82,3,43,0,5,0,33.93,69.44,1,12,0,5,2.5,0.0,0,0
426,b5626ff7,N Chantam,female,Thailand,17,17,716,1017,102,0,85,6,7,1,42.12,70.4,0,0,0,0,0.0,0.0,0,0
427,c3cbf0fc,N David,female,India,2,0,0,0,0,0,0,0,0,0,0.0,0.0,2,96,4,25,1.56,6.25,3,0
428,ea544967,N de Klerk,female,South Africa,64,55,1058,1183,84,12,108,19,3,0,24.6,89.43,61,2504,74,2177,5.22,29.42,4,0
429,9c2e3040,N Gwanzura,female,Zimbabwe,11,10,125,198,34,0,9,0,0,0,12.5,63.13,3,62,3,47,4.55,15.67,2,0
430,82c78412,N Koncharoenkai,female,Thailand,14,14,303,403,54,1,32,0,1,0,23.31,75.19,0,0,0,0,0.0,0.0,0,0
431,686362af,N Mlaba,female,South Africa,53,22,63,109,16,7,5,1,0,0,4.2,57.8,53,2573,64,2116,4.93,33.06,4,0
432,b4bbe95c,N Niranjana,female,India,10,6,24,59,12,1,3,0,0,0,4.8,40.68,10,461,14,328,4.27,23.43,3,0
433,b17a4a93,N Shangase,female,South Africa,21,13,163,243,55,1,16,3,1,0,13.58,67.08,20,737,15,684,5.57,45.6,2,0
434,583ce32c,N Shree Charani,female,India,21,7,22,33,11,1,0,2,0,0,3.67,66.67,21,1088,27,1031,5.69,38.19,3,0
435,edf62a25,N Sibanda,female,Zimbabwe,25,19,166,350,35,6,11,0,0,0,12.77,47.43,25,1025,16,818,4.79,51.12,3,0
436,20ace887,N Vare,female,Papua New Guinea,14,14,188,435,44,0,16,0,0,0,13.43,43.22,0,0,0,0,0.0,0.0,0,0
437,30743b6e,NA Moodley,female,South Africa,1,1,5,9,5,0,1,0,0,0,5.0,55.56,0,0,0,0,0.0,0.0,0,0
