match_id,team_id,team_name,gender,runs,wickets,total_balls,fours,sixes,extras,run_rate
1085974,17,Australia,female,245,10,241,28,3,7,6.1
1085975,21,England,female,228,7,300,18,0,11,4.56
1085975,23,India,female,219,10,292,16,3,11,4.5
1086063,21,England,female,228,9,300,14,4,10,4.56
1086063,17,Australia,female,231,8,295,23,3,15,4.7
1086064,17,Australia,female,296,6,300,27,6,8,5.92
1086064,21,England,female,209,10,254,17,1,10,4.94
1089183,22,United Arab Emirates,male,251,9,300,16,3,8,5.02
1089183,12,Papua New Guinea,male,148,10,212,11,0,14,4.19
1089419,4,Scotland,male,317,6,300,31,6,16,6.34
1089419,6,Zimbabwe,male,272,10,250,29,8,4,6.53
1089420,4,Scotland,male,169,10,252,17,1,7,4.02
1089420,6,Zimbabwe,male,171,4,222,16,1,18,4.62
1089521,24,Ireland,female,96,10,268,9,0,5,2.15
1089521,23,India,female,99,0,112,15,1,2,5.3
1089522,16,South Africa,female,119,10,237,13,0,6,3.01
1089522,23,India,female,121,3,248,13,2,6,2.93
1089524,16,South Africa,female,337,5,300,36,2,16,6.74
1089524,24,Ireland,female,159,8,300,15,0,24,3.18
1089528,16,South Africa,female,269,5,300,23,6,4,5.38
1089528,23,India,female,261,9,300,29,5,8,5.22
1089530,16,South Africa,female,323,8,300,29,5,28,6.46
1089530,24,Ireland,female,203,6,300,28,0,19,4.06
1089533,16,South Africa,female,156,10,242,15,3,13,3.87
1089533,23,India,female,160,2,198,23,1,18,4.85
1098206,7,India,male,199,3,236,18,2,5,5.06
1098207,7,India,male,310,5,258,28,6,13,7.21
1098207,13,West Indies,male,205,6,258,12,4,9,4.77
1098208,7,India,male,251,4,300,18,4,9,5.02
1098208,13,West Indies,male,158,10,229,15,0,23,4.14
1098209,13,West Indies,male,189,9,300,11,2,11,3.78
1098209,7,India,male,178,10,298,10,1,10,3.58
1098210,13,West Indies,male,205,9,300,19,3,7,4.1
1098210,7,India,male,206,2,221,23,2,2,5.59
1104478,11,Sri Lanka,male,316,5,300,33,4,9,6.32
1104478,6,Zimbabwe,male,322,4,286,34,1,15,6.76
1104479,6,Zimbabwe,male,155,10,202,20,0,12,4.6
1104479,11,Sri Lanka,male,158,3,181,17,0,12,5.24
1104480,6,Zimbabwe,male,310,8,300,29,5,11,6.2
1104480,11,Sri Lanka,male,312,2,284,34,3,22,6.59
1104481,11,Sri Lanka,male,300,6,300,19,3,13,6.0
1104481,6,Zimbabwe,male,219,6,176,27,3,13,7.47
1104482,11,Sri Lanka,male,203,8,300,16,0,28,4.06
1104482,6,Zimbabwe,male,204,7,229,19,5,7,5.34
1109605,11,Sri Lanka,male,216,10,260,18,2,16,4.98
1109605,7,India,male,220,1,173,30,4,2,7.63
1109606,11,Sri Lanka,male,236,8,300,16,3,22,4.72
1109606,7,India,male,231,7,266,17,5,15,5.21
1109607,11,Sri Lanka,male,217,9,300,18,1,19,4.34
1109607,7,India,male,218,4,271,23,3,2,4.83
1109608,7,India,male,375,5,300,39,7,11,7.5
1109608,11,Sri Lanka,male,207,10,256,22,4,13,4.85
1109609,11,Sri Lanka,male,238,10,298,20,3,14,4.79
1109609,7,India,male,239,4,279,19,0,8,5.14
1115775,10,England,male,284,8,300,23,9,11,5.68
1115775,3,New Zealand,male,287,7,296,24,5,13,5.82
1115776,3,New Zealand,male,223,10,298,19,3,10,4.49
1115776,10,England,male,225,4,227,23,8,10,5.95
1115777,10,England,male,234,10,300,20,2,11,4.68
1115777,3,New Zealand,male,230,8,300,18,2,5,4.6
1115778,10,England,male,335,9,300,31,11,5,6.7
1115778,3,New Zealand,male,339,5,297,24,13,6,6.85
1115779,3,New Zealand,male,223,10,299,10,4,7,4.47
