match_id,team_id,team_name,gender,runs,wickets,total_balls,fours,sixes,extras,run_rate
1144523,3,New Zealand,male,186,10,270,14,0,14,4.13
1144525,2,Pakistan,male,315,9,300,31,1,16,6.3
1144525,8,Bangladesh,male,221,10,265,20,2,11,5.0
1144526,11,Sri Lanka,male,264,7,300,24,2,15,5.28
1144526,7,India,male,265,3,261,30,3,6,6.09
1144527,9,South Africa,male,325,6,300,26,7,24,6.5
1144527,1,Australia,male,315,10,299,37,4,7,6.32
1144528,3,New Zealand,male,239,8,300,15,1,18,4.78
1144528,7,India,male,221,10,297,13,5,16,4.46
1144529,1,Australia,male,223,10,294,15,2,16,4.55
1144529,10,England,male,226,2,193,30,5,13,7.03
1144530,3,New Zealand,male,241,8,300,14,2,30,4.82
1144530,10,England,male,241,10,300,22,3,17,4.82
1144982,17,Australia,female,241,10,298,28,1,29,4.85
1144982,19,New Zealand,female,236,9,300,18,1,19,4.72
1144983,17,Australia,female,247,7,300,21,3,12,4.94
1144983,19,New Zealand,female,152,10,228,15,1,5,4.0
1144984,19,New Zealand,female,231,8,300,20,2,5,4.62
1144984,17,Australia,female,233,3,287,28,1,4,4.87
