version,model,accuracy,precision,recall,f1,roc_auc,log_loss,brier
V1,Logistic Regression,0.6065573770491803,0.564935064935065,0.75,0.6444444444444445,0.659247036637931,0.6819538085326201,
V1,XGBoost,0.5983606557377049,0.5708661417322834,0.625,0.5967078189300411,0.6234846443965516,0.7281656861305237,
V1,Random Forest,0.5737704918032787,0.5491803278688525,0.5775862068965517,0.5630252100840336,0.619561557112069,0.6824571106687364,
V2,Logistic Regression,0.6045081967213115,0.5627009646302251,0.7543103448275862,0.6445672191528545,0.66357421875,0.672101629174023,0.2384076194193648
V2,XGBoost,0.5942622950819673,0.5594405594405595,0.6896551724137931,0.6177606177606177,0.6285358297413792,0.722303569316864,0.2558702826499939
V2,Random Forest,0.6024590163934426,0.5708955223880597,0.6594827586206896,0.612,0.6282327586206896,0.6825332813302926,0.2434060135908571
V3,Logistic Regression,0.6065573770491803,0.5645161290322581,0.7543103448275862,0.6457564575645757,0.655896417025862,0.6782207380367993,0.240543289869468
V3,XGBoost,0.6127049180327869,0.5811320754716981,0.6637931034482759,0.6197183098591549,0.6447501346982758,0.6950912475585938,0.24579714238643646
V3,Random Forest,0.6065573770491803,0.5775193798449613,0.6422413793103449,0.6081632653061224,0.6429653825431034,0.6693335295777394,0.2376163620404319
