fold,date,target,raw_probability
1,2014-05-31,0,0.4854483219043591
1,2014-06-03,0,0.5144897665335739
1,2014-06-15,0,0.2820824848938032
1,2014-06-17,0,0.2669389571631142
1,2014-07-06,0,0.6286731446552529
1,2014-07-09,1,0.577030425899683
1,2014-07-12,0,0.6173505252013095
1,2014-08-17,0,0.24822005097286273
1,2014-08-19,0,0.24599395614881522
1,2014-08-20,1,0.6977806646608308
1,2014-08-21,0,0.23984817324972216
1,2014-08-22,1,0.7361974744344999
1,2014-08-23,0,0.5999991496252195
1,2014-08-25,1,0.6973958004586474
1,2014-08-25,0,0.18321983190450353
1,2014-08-26,1,0.5569799598866985
1,2014-08-27,0,0.48168599626603376
1,2014-08-27,0,0.6333458756917374
1,2014-08-29,0,0.22246216854494774
1,2014-08-30,0,0.46646701656371703
1,2014-08-30,1,0.6063408303507287
1,2014-08-31,1,0.19114118078700656
1,2014-09-02,0,0.4355595830859485
1,2014-09-02,1,0.6066079119758082
1,2014-09-04,0,0.2399397110676262
1,2014-09-05,1,0.39343088607744037
1,2014-09-06,0,0.6301808271706226
1,2014-09-08,1,0.5976327403973744
1,2014-09-10,1,0.6530419460006732
1,2014-09-12,0,0.6772579376527312
1,2014-10-07,1,0.7286159681446187
1,2014-10-08,0,0.776994347972377
1,2014-10-10,1,0.745194711350612
1,2014-10-11,1,0.7379610008547619
1,2014-10-12,1,0.7542502290515636
1,2014-10-17,1,0.7113740982443201
1,2014-10-21,0,0.471091952473671
1,2014-10-24,0,0.4112491571848848
1,2014-11-02,1,0.7308638998671722
1,2014-11-06,1,0.7136545886183056
1,2014-11-09,1,0.7223012299160236
1,2014-11-13,1,0.769912888022332
1,2014-11-14,1,0.6147693715548213
1,2014-11-16,0,0.6670447765643068
1,2014-11-16,1,0.7783754548092293
1,2014-11-19,1,0.6809931760869016
1,2014-11-21,1,0.6562167010455204
1,2014-11-21,1,0.6564692787936757
1,2014-11-23,1,0.7263620407072271
1,2014-11-23,1,0.6834104431164766
1,2014-11-26,1,0.6515940371326749
1,2014-11-26,1,0.6531552990582268
1,2014-11-28,1,0.6687216413631387
1,2014-11-29,1,0.6633168890413149
1,2014-12-01,1,0.6938717413883833
1,2014-12-03,0,0.6972009728962232
1,2014-12-07,1,0.6710692923496665
1,2014-12-08,0,0.593835225070191
1,2014-12-10,0,0.6948905130757921
1,2014-12-12,1,0.5563192255129024
1,2014-12-13,1,0.6459093316851854
1,2014-12-14,0,0.5873622361004286
1,2014-12-16,1,0.6917693912149612
1,2014-12-17,1,0.5429349602460241
1,2014-12-19,1,0.5661247057987555
1,2015-01-11,1,0.4486441403802531
1,2015-01-12,1,0.5948154195075416
1,2015-01-15,0,0.4817495422153131
1,2015-01-16,1,0.6849671996751994
1,2015-01-16,1,0.7736697892443117
1,2015-01-18,1,0.7101625078026224
1,2015-01-18,1,0.6246774476796576
