model,accuracy,precision,recall,f1,roc_auc,log_loss,brier,ece
Raw Tuned Logistic Regression,0.6168032786885246,0.5683890577507599,0.8060344827586207,0.6666666666666666,0.6734745420258621,0.6655966234650709,0.2363606549872594,0.10077686420436914
Sigmoid Calibrated,0.6127049180327869,0.5623188405797102,0.8362068965517241,0.6724436741767764,0.6734745420258621,0.6736236655279642,0.23970577509100394,0.11641990812230067
Isotonic Calibrated,0.5594262295081968,0.5206812652068127,0.9224137931034483,0.6656298600311042,0.6649801320043103,0.7511391376247283,0.2451903315394,0.12654758225524887
