model,accuracy,precision,recall,f1,roc_auc,log_loss,brier
Logistic Regression,0.6045081967213115,0.5627009646302251,0.7543103448275862,0.6445672191528545,0.66357421875,0.672101629174023,0.2384076194193648
XGBoost,0.5942622950819673,0.5594405594405595,0.6896551724137931,0.6177606177606177,0.6285358297413792,0.722303569316864,0.2558702826499939
Random Forest,0.6024590163934426,0.5708955223880597,0.6594827586206896,0.612,0.6282327586206896,0.6825332813302926,0.24340601359085717
