model,accuracy,precision,recall,f1,roc_auc,log_loss,brier_score
Logistic Regression,0.6065573770491803,0.564935064935065,0.75,0.6444444444444445,0.659247036637931,0.6819538085326201,0.24199606585685499
XGBoost,0.5983606557377049,0.5708661417322834,0.625,0.5967078189300411,0.6234846443965516,0.7281656861305237,0.25777146220207214
Random Forest,0.5737704918032787,0.5491803278688525,0.5775862068965517,0.5630252100840336,0.619561557112069,0.6824571106687364,0.24322959632419722
