experiment,feature_count,accuracy,precision,recall,f1,roc_auc,log_loss,brier,accuracy_delta_vs_v1,roc_auc_delta_vs_v1,log_loss_delta_vs_v1,brier_delta_vs_v1
01_V1_Baseline,12,0.5840163934426229,0.543026706231454,0.7887931034482759,0.6432337434094904,0.6448511584051725,0.6883246900286528,0.24625381652822637,0.0,0.0,0.0,0.0
02_Strength,12,0.5840163934426229,0.543026706231454,0.7887931034482759,0.6432337434094904,0.6448511584051725,0.6883246900286528,0.24625381652822637,0.0,0.0,0.0,0.0
03_Strength_Plus_Recent_Form,16,0.5983606557377049,0.5569620253164557,0.7586206896551724,0.6423357664233577,0.64990234375,0.6870880560646474,0.244705670143661,0.014344262295082011,0.0050511853448275135,-0.001236633964005418,-0.001548146384565352
04_Strength_Form_Plus_Venue,20,0.5983606557377049,0.5596026490066225,0.728448275862069,0.6329588014981273,0.65966796875,0.6787982920274765,0.24109648829620597,0.014344262295082011,0.014816810344827513,-0.009526398001176273,-0.005157328232020392
05_Strength_Form_Venue_Plus_H2H,25,0.6065573770491803,0.564935064935065,0.75,0.6444444444444445,0.659247036637931,0.6819538085316734,0.2419960658565904,0.02254098360655743,0.014395878232758563,-0.006370881496979397,-0.004257750671635974
06_V2_All_Engineered,51,0.6045081967213115,0.5627009646302251,0.7543103448275862,0.6445672191528545,0.66357421875,0.6721016291732844,0.23840761941902405,0.020491803278688603,0.018723060344827513,-0.0162230608553684,-0.007846197109202313
07_V3_All_Engineered,59,0.6065573770491803,0.5645161290322581,0.7543103448275862,0.6457564575645757,0.655896417025862,0.6782207384639798,0.24054329010578648,0.02254098360655743,0.011045258620689502,-0.01010395156467303,-0.005710526422439882
