model,accuracy,precision,recall,f1,roc_auc,log_loss,brier
Logistic Regression,0.6065573770491803,0.5645161290322581,0.7543103448275862,0.6457564575645757,0.655896417025862,0.6782207380367993,0.240543289869468
XGBoost,0.6127049180327869,0.5811320754716981,0.6637931034482759,0.6197183098591549,0.6447501346982758,0.6950912475585938,0.24579714238643646
Random Forest,0.6065573770491803,0.5775193798449613,0.6422413793103449,0.6081632653061224,0.6429653825431034,0.6693335295777394,0.2376163620404319
