C,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_roc_auc,mean_log_loss,mean_brier
0.001,0.6697082679225537,0.6947348389494252,0.7873431536750776,0.7376780004782189,0.7042470119623814,0.6076500810976911,0.20980178326152085
0.01,0.6556187859759288,0.6811960243796229,0.7820101498219891,0.7276986031542656,0.6891200516957796,0.6210135589351262,0.21530418429842188
0.1,0.6478937728937729,0.6789477109620995,0.7701845546982968,0.7209085907924324,0.6724543408496186,0.6421142574607039,0.22300976647127624
0.5,0.6427721088435374,0.6744529791789614,0.7703126859046521,0.7181992628490673,0.665546376837794,0.6554264488491247,0.22602768168275095
1.0,0.6376439037153323,0.6697090999095487,0.7703126859046521,0.7154138303470776,0.6654996437907235,0.661483290359359,0.2268871000870956
2.0,0.636361852433281,0.6682266225902628,0.7703126859046521,0.7146816075581489,0.6631322681955154,0.6668214149405829,0.22760563952629684
5.0,0.6337977498691785,0.6674284097221717,0.7665648481187592,0.7124620258390152,0.6626391536189535,0.6719850618435579,0.22832184822332133
10.0,0.63507326007326,0.6683820581956529,0.769280543276315,0.7140505171413174,0.662341012774239,0.6736851799190552,0.22858239945488557
50.0,0.6389194139194139,0.6707796132151491,0.7734912550451662,0.7172030148759269,0.660041191586575,0.6769719651057661,0.22931748716094855
100.0,0.6427524856096285,0.6746076615444851,0.773156512268563,0.7193423913395373,0.6593033710678105,0.6786377815807977,0.2294799504767282
