model,accuracy,precision,recall,f1,roc_auc,log_loss,version,brier
Logistic Regression,0.6065573770491803,0.564935064935065,0.75,0.6444444444444445,0.659247036637931,0.6819538085326201,V1,
XGBoost,0.5983606557377049,0.5708661417322834,0.625,0.5967078189300411,0.6234846443965516,0.7281656861305237,V1,
Random Forest,0.5737704918032787,0.5491803278688525,0.5775862068965517,0.5630252100840336,0.619561557112069,0.6824571106687364,V1,
Logistic Regression,0.6045081967213115,0.5627009646302251,0.7543103448275862,0.6445672191528545,0.66357421875,0.672101629174023,V2,0.2384076194193648
XGBoost,0.5942622950819673,0.5594405594405595,0.6896551724137931,0.6177606177606177,0.6285358297413792,0.722303569316864,V2,0.2558702826499939
Random Forest,0.6024590163934426,0.5708955223880597,0.6594827586206896,0.612,0.6282327586206896,0.6825332813302926,V2,0.24340601359085717
