team_id,team_name,gender
1,Argentina,female
2,Australia,female
3,Austria,female
4,Bahrain,female
5,Bangladesh,female
6,Barbados,female
7,Belgium,female
8,Bhutan,female
9,Botswana,female
10,Brazil,female
11,Bulgaria,female
12,Cambodia,female
13,Cameroon,female
14,Canada,female
15,Chile,female
16,China,female
17,Cook Islands,female
18,Costa Rica,female
19,Croatia,female
20,Cyprus,female
21,Czech Republic,female
22,Denmark,female
23,England,female
24,Estonia,female
25,Eswatini,female
26,Fiji,female
27,Finland,female
28,France,female
29,Germany,female
30,Ghana,female
31,Gibraltar,female
32,Greece,female
33,Guernsey,female
34,Hong Kong,female
35,India,female
36,Indonesia,female
37,Ireland,female
38,Isle of Man,female
39,Italy,female
40,Japan,female
41,Jersey,female
42,Kenya,female
43,Kuwait,female
44,Lesotho,female
45,Luxembourg,female
46,Malawi,female
47,Malaysia,female
48,Maldives,female
49,Mali,female
50,Malta,female
51,Mexico,female
52,Mongolia,female
53,Mozambique,female
54,Myanmar,female
55,Namibia,female
56,Nepal,female
57,Netherlands,female
58,New Zealand,female
59,Nigeria,female
60,Norway,female
61,Oman,female
62,Pakistan,female
63,Papua New Guinea,female
64,Philippines,female
65,Portugal,female
66,Qatar,female
67,Romania,female
68,Rwanda,female
69,Samoa,female
70,Saudi Arabia,female
71,Scotland,female
72,Serbia,female
73,Sierra Leone,female
74,Singapore,female
75,South Africa,female
76,South Korea,female
77,Spain,female
78,Sri Lanka,female
79,Sweden,female
80,Switzerland,female
81,Tanzania,female
82,Thailand,female
83,Turkey,female
84,Uganda,female
85,United Arab Emirates,female
86,United States of America,female
87,Vanuatu,female
88,West Indies,female
89,Zambia,female
90,Zimbabwe,female
91,Argentina,male
92,Australia,male
93,Austria,male
94,Bahamas,male
95,Bahrain,male
96,Bangladesh,male
97,Belgium,male
98,Belize,male
99,Bermuda,male
100,Bhutan,male
101,Botswana,male
102,Brazil,male
103,Bulgaria,male
104,Cambodia,male
105,Cameroon,male
106,Canada,male
107,Cayman Islands,male
108,Chile,male
109,China,male
110,Cook Islands,male
111,Costa Rica,male
112,Croatia,male
113,Cyprus,male
114,Czech Republic,male
115,Denmark,male
116,England,male
117,Estonia,male
118,Eswatini,male
119,Fiji,male
120,Finland,male
121,France,male
122,Gambia,male
123,Germany,male
124,Ghana,male
125,Gibraltar,male
126,Greece,male
127,Guernsey,male
128,Hong Kong,male
129,Hungary,male
130,ICC World XI,male
131,India,male
132,Indonesia,male
133,Iran,male
134,Ireland,male
135,Isle of Man,male
136,Israel,male
137,Italy,male
138,Ivory Coast,male
139,Japan,male
140,Jersey,male
141,Kenya,male
142,Kuwait,male
143,Lesotho,male
144,Luxembourg,male
145,Malawi,male
146,Malaysia,male
147,Maldives,male
148,Mali,male
149,Malta,male
150,Mexico,male
151,Mongolia,male
152,Mozambique,male
153,Myanmar,male
154,Namibia,male
155,Nepal,male
156,Netherlands,male
157,New Zealand,male
158,Nigeria,male
159,Norway,male
160,Oman,male
161,Pakistan,male
162,Panama,male
163,Papua New Guinea,male
164,Peru,male
165,Philippines,male
166,Portugal,male
167,Qatar,male
168,Romania,male
169,Rwanda,male
170,Samoa,male
171,Saudi Arabia,male
172,Scotland,male
173,Serbia,male
174,Seychelles,male
175,Sierra Leone,male
176,Singapore,male
177,Slovenia,male
178,South Africa,male
179,South Korea,male
180,Spain,male
181,Sri Lanka,male
182,St Helena,male
183,Suriname,male
184,Swaziland,male
185,Sweden,male
186,Switzerland,male
187,Tanzania,male
188,Thailand,male
189,Timor-Leste,male
190,Turkey,male
191,Turks and Caicos Island,male
192,Uganda,male
193,United Arab Emirates,male
194,United States of America,male
195,Uzbekistan,male
196,Vanuatu,male
197,West Indies,male
198,Zambia,male
199,Zimbabwe,male
